1,Toy Story (1995),4.100567503955555
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),4.101299614258451
47,Seven (a.k.a. Se7en) (1995),4.3265755465894244
50,Usual Suspects, The (1995),4.161939105501446
111,Taxi Driver (1976),4.000142447177428
260,Star Wars: Episode IV - A New Hope (1977),4.202292649168873
296,Pulp Fiction (1994),4.066751906926167
318,Shawshank Redemption, The (1994),5.0
356,Forrest Gump (1994),4.115163980058531
541,Blade Runner (1982),4.390910971458864
589,Terminator 2: Judgment Day (1991),4.231268735788426
593,Silence of the Lambs, The (1991),4.4482368732981135
608,Fargo (1996),4.1169705547734665
858,Godfather, The (1972),4.436205822694533
924,2001: A Space Odyssey (1968),4.05243409129776
1193,One Flew Over the Cuckoo's Nest (1975),4.072316943712132
1196,Star Wars: Episode V - The Empire Strikes Back (1980),4.228722262627867
1214,Alien (1979),4.260007067631545
1258,Shining, The (1980),4.137439747953644
1265,Groundhog Day (1993),4.17814839487544
1270,Back to the Future (1985),4.176489316204068
1732,Big Lebowski, The (1998),4.526520981932896
2571,Matrix, The (1999),4.010352407836939
4226,Memento (2000),4.071370596049082
4993,Lord of the Rings: The Fellowship of the Ring, The (2001),4.1824318295052185
5952,Lord of the Rings: The Two Towers, The (2002),4.079741429895519
6711,Lost in Translation (2003),4.2352481707933896
7153,Lord of the Rings: The Return of the King, The (2003),4.042110297782349
7361,Eternal Sunshine of the Spotless Mind (2004),4.218238685978653
33794,Batman Begins (2005),4.132220352561629
48516,Departed, The (2006),4.022998951604207
48774,Children of Men (2006),4.147804172963695
55820,No Country for Old Men (2007),4.663560927395983
56782,There Will Be Blood (2007),4.007417257238986
58559,Dark Knight, The (2008),4.3540717739393955
68157,Inglourious Basterds (2009),4.108993221484946
79132,Inception (2010),4.024499605947917
