1,"Toy Story (1995)",4.41670309294322
260,"Star Wars: Episode IV - A New Hope (1977)",4.249803466945328
356,"Forrest Gump (1994)",4.744053978099162
1196,"Star Wars: Episode V - The Empire Strikes Back (1980)",4.340660432663623
1197,"Princess Bride, The (1987)",4.902595841587056
1198,"Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)",4.104972078395769
1210,"Star Wars: Episode VI - Return of the Jedi (1983)",4.229666817845896
1265,"Groundhog Day (1993)",4.285671181557282
1270,"Back to the Future (1985)",5.0
1307,"When Harry Met Sally... (1989)",4.2124999329307915
