260,Star Wars: Episode IV - A New Hope (1977),4.183843429446577
296,Pulp Fiction (1994),4.090360332399617
318,Shawshank Redemption, The (1994),4.382067206180537
356,Forrest Gump (1994),4.313026515490163
1196,Star Wars: Episode V - The Empire Strikes Back (1980),4.047132338679874
1580,Men in Black (a.k.a. MIB) (1997),4.031321075167316
2571,Matrix, The (1999),5.0
2959,Fight Club (1999),4.6012974262971955
3578,Gladiator (2000),4.575326190313405
4963,Ocean's Eleven (2001),4.083725273165539
4993,Lord of the Rings: The Fellowship of the Ring, The (2001),4.43076497695809
5418,Bourne Identity, The (2002),4.135166034343755
5952,Lord of the Rings: The Two Towers, The (2002),4.357382235303603
6539,Pirates of the Caribbean: The Curse of the Black Pearl (2003),4.3444410728564025
6874,Kill Bill: Vol. 1 (2003),4.029029889686186
7153,Lord of the Rings: The Return of the King, The (2003),4.341960420930505
8644,I, Robot (2004),4.110763757691028
33794,Batman Begins (2005),4.3052644994556575
44191,V for Vendetta (2006),4.106343742896312
51662,300 (2007),4.059003134129507
58559,Dark Knight, The (2008),4.730251163393005
59315,Iron Man (2008),4.830042530471563
68157,Inglourious Basterds (2009),4.0029170318297815
72998,Avatar (2009),4.47197039084338
79132,Inception (2010),4.902326972323444
89745,Avengers, The (2012),4.583231138851776
91529,Dark Knight Rises, The (2012),4.450271961895149
99114,Django Unchained (2012),4.158503860617886
109487,Interstellar (2014),4.364357410793746
111759,Edge of Tomorrow (2014),4.124277321787421
112852,Guardians of the Galaxy (2014),4.538612508606348
122904,Deadpool (2016),4.036746091780069
