318,"Shawshank Redemption, The (1994)",4.195773336645907
356,"Forrest Gump (1994)",4.355174137391003
364,"Lion King, The (1994)",5.0
588,"Aladdin (1992)",4.706634501230023
595,"Beauty and the Beast (1991)",4.734903638698684
1197,"Princess Bride, The (1987)",4.1209679052186745
1721,"Titanic (1997)",4.328486324172275
2571,"Matrix, The (1999)",4.333355411125935
2762,"Sixth Sense, The (1999)",4.038721757809507
4306,"Shrek (2001)",4.71590103101641
4886,"Monsters, Inc. (2001)",4.485516041139776
4896,"Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)",4.386444215094128
4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",4.402371581391161
5816,"Harry Potter and the Chamber of Secrets (2002)",4.084695462436684
5952,"Lord of the Rings: The Two Towers, The (2002)",4.181506728341112
6377,"Finding Nemo (2003)",4.813459732480029
6539,"Pirates of the Caribbean: The Curse of the Black Pearl (2003)",4.732049462557455
7153,"Lord of the Rings: The Return of the King, The (2003)",4.287744188989656
8368,"Harry Potter and the Prisoner of Azkaban (2004)",4.25684698371476
8961,"Incredibles, The (2004)",4.144796401056064
50872,"Ratatouille (2007)",4.0567841328870475
56367,"Juno (2007)",4.102122652021626
58559,"Dark Knight, The (2008)",4.2324639654856355
60069,"WALL·E (2008)",4.296631707946613
68954,"Up (2009)",4.387308044183823
79132,"Inception (2010)",4.031260178598423
