110,"Braveheart (1995)",4.549642748581143
260,"Star Wars: Episode IV - A New Hope (1977)",4.8159921206212575
457,"Fugitive, The (1993)",4.055961073456821
480,"Jurassic Park (1993)",4.664835177838993
589,"Terminator 2: Judgment Day (1991)",5.0
1036,"Die Hard (1988)",4.114960330897619
1196,"Star Wars: Episode V - The Empire Strikes Back (1980)",4.934611976747092
1198,"Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)",4.846283564228034
1200,"Aliens (1986)",4.248334046616585
1210,"Star Wars: Episode VI - Return of the Jedi (1983)",4.718966243960445
1214,"Alien (1979)",4.058869484051319
1240,"Terminator, The (1984)",4.546856309290251
1291,"Indiana Jones and the Last Crusade (1989)",4.21188253253779
1580,"Men in Black (a.k.a. MIB) (1997)",4.435618900700906
2028,"Saving Private Ryan (1998)",4.184934428740466
2571,"Matrix, The (1999)",4.837853616207473
2916,"Total Recall (1990)",4.096448127809168
