1,"Toy Story (1995)",5.0
356,"Forrest Gump (1994)",4.066191656712619
364,"Lion King, The (1994)",4.798054772272034
588,"Aladdin (1992)",4.340898345714597
4306,"Shrek (2001)",4.754783790292821
4886,"Monsters, Inc. (2001)",4.4122185252752
4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",4.49573342284752
5952,"Lord of the Rings: The Two Towers, The (2002)",4.269972657881746
6377,"Finding Nemo (2003)",4.423786758342477
6539,"Pirates of the Caribbean: The Curse of the Black Pearl (2003)",4.044541022885565
7153,"Lord of the Rings: The Return of the King, The (2003)",4.147383706666131
