50,Usual Suspects, The (1995),4.581554222678953
110,Braveheart (1995),4.911331799315148
260,Star Wars: Episode IV - A New Hope (1977),4.849982483380153
296,Pulp Fiction (1994),4.142999601121536
318,Shawshank Redemption, The (1994),4.619596950555863
356,Forrest Gump (1994),4.330684415143105
457,Fugitive, The (1993),4.4449995532767215
480,Jurassic Park (1993),4.278234772540563
527,Schindler's List (1993),4.098041888181596
589,Terminator 2: Judgment Day (1991),4.229728844099265
592,Batman (1989),4.032539641091649
593,Silence of the Lambs, The (1991),4.327358628216774
608,Fargo (1996),4.288583316911002
858,Godfather, The (1972),4.326412912086463
919,Wizard of Oz, The (1939),4.012752651214742
1036,Die Hard (1988),4.010012243584269
1097,E.T. the Extra-Terrestrial (1982),4.506738112933917
1196,Star Wars: Episode V - The Empire Strikes Back (1980),5.0
1197,Princess Bride, The (1987),4.3070364182590355
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),4.505291930147626
1200,Aliens (1986),4.0265964558095435
1210,Star Wars: Episode VI - Return of the Jedi (1983),4.7207069626549565
1214,Alien (1979),4.216313220828601
1240,Terminator, The (1984),4.336775356485585
1259,Stand by Me (1986),4.212274302711412
1265,Groundhog Day (1993),4.198402689642976
1270,Back to the Future (1985),4.4331768212832205
1387,Jaws (1975),4.360166180020888
1580,Men in Black (a.k.a. MIB) (1997),4.493015314223879
1610,Hunt for Red October, The (1990),4.236959546978543
1617,L.A. Confidential (1997),4.505842619710774
2000,Lethal Weapon (1987),4.32119209028816
2028,Saving Private Ryan (1998),4.471667340063778
2571,Matrix, The (1999),4.323600580766911
2716,Ghostbusters (a.k.a. Ghost Busters) (1984),4.48420100026392
2762,Sixth Sense, The (1999),4.259457800756384
2858,American Beauty (1999),4.357425355391427
