32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),4.411703700668645
47,Seven (a.k.a. Se7en) (1995),4.6588474669680044
260,Star Wars: Episode IV - A New Hope (1977),4.4256809357445
296,Pulp Fiction (1994),4.946587080094628
318,Shawshank Redemption, The (1994),4.633287674118501
356,Forrest Gump (1994),4.1699617284163235
480,Jurassic Park (1993),4.053523364590817
589,Terminator 2: Judgment Day (1991),4.477387649491867
593,Silence of the Lambs, The (1991),4.3042717148257035
1036,Die Hard (1988),4.255593693033527
1089,Reservoir Dogs (1992),4.151007159071462
1196,Star Wars: Episode V - The Empire Strikes Back (1980),4.495366491224136
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),4.307579912724055
1200,Aliens (1986),4.062824869306293
1210,Star Wars: Episode VI - Return of the Jedi (1983),4.254197528930799
1214,Alien (1979),4.326430189840923
1240,Terminator, The (1984),4.311001617086402
1270,Back to the Future (1985),4.093446729212654
1291,Indiana Jones and the Last Crusade (1989),4.209104480934684
1527,Fifth Element, The (1997),4.475744257328201
1580,Men in Black (a.k.a. MIB) (1997),4.01583787579129
2329,American History X (1998),4.004732117024598
2571,Matrix, The (1999),5.0
2762,Sixth Sense, The (1999),4.101114625888267
2858,American Beauty (1999),4.046651018032597
2959,Fight Club (1999),4.9995187310046045
3578,Gladiator (2000),4.25370042873968
4993,Lord of the Rings: The Fellowship of the Ring, The (2001),4.411358361933965
5952,Lord of the Rings: The Two Towers, The (2002),4.3429209663455905
6874,Kill Bill: Vol. 1 (2003),4.323374443205393
7153,Lord of the Rings: The Return of the King, The (2003),4.372465952468049
7438,Kill Bill: Vol. 2 (2004),4.024641368171747
32587,Sin City (2005),4.174417086084043
33794,Batman Begins (2005),4.07280183975709
