260,"Star Wars: Episode IV - A New Hope (1977)",4.5356935462751915
296,"Pulp Fiction (1994)",4.756790862692471
1196,"Star Wars: Episode V - The Empire Strikes Back (1980)",4.559296218278434
1198,"Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)",4.320720965978609
1210,"Star Wars: Episode VI - Return of the Jedi (1983)",4.006775749244577
1214,"Alien (1979)",4.0170064987912815
1270,"Back to the Future (1985)",4.108809403015814
2571,"Matrix, The (1999)",5.0
2959,"Fight Club (1999)",4.645019464252329
4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",4.188607873138957
5952,"Lord of the Rings: The Two Towers, The (2002)",4.00473861662828
7153,"Lord of the Rings: The Return of the King, The (2003)",4.043048465769973
58559,"Dark Knight, The (2008)",4.709012024533275
79132,"Inception (2010)",4.642684748383173
