11,"American President, The (1995)",4.067876805161838
39,"Clueless (1995)",4.7781419894584145
318,"Shawshank Redemption, The (1994)",4.1490781029414014
339,"While You Were Sleeping (1995)",4.312087162063204
539,"Sleepless in Seattle (1993)",4.171115731928826
597,"Pretty Woman (1990)",4.143016711188971
1088,"Dirty Dancing (1987)",4.309088341846114
1307,"When Harry Met Sally... (1989)",4.10096664160931
1380,"Grease (1978)",4.252882151429988
1569,"My Best Friend's Wedding (1997)",4.334092491098623
1777,"Wedding Singer, The (1998)",4.336251486286863
2424,"You've Got Mail (1998)",4.1410732470207
2572,"10 Things I Hate About You (1999)",5.0
2671,"Notting Hill (1999)",4.36733058979697
